Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
James Edwards,/players/e/edwarja01.html,1978,1996,C-F,7-0,225,"November 22, 1955",Washington
Jay Edwards,/players/e/edwarja02.html,1990,1990,G,6-4,185,"January 3, 1969",Indiana
John Edwards,/players/e/edwarjo01.html,2005,2006,C,7-0,275,"July 31, 1981",Kent State University
Kessler Edwards,/players/e/edwarke02.html,2022,2022,F,6-8,215,"August 9, 2000",Pepperdine
Kevin Edwards,/players/e/edwarke01.html,1989,2001,G,6-3,190,"October 30, 1965",DePaul
Rob Edwards,/players/e/edwarro01.html,2022,2022,G,6-5,205,"January 20, 1997","Cleveland State University, Arizona State"
Shane Edwards,/players/e/edwarsh01.html,2014,2014,F,6-7,220,"May 31, 1987",Little Rock
Vince Edwards,/players/e/edwarvi01.html,2019,2019,F,6-8,225,"April 5, 1996",Purdue
Johnny Egan,/players/e/eganjo01.html,1962,1972,G,5-11,180,"January 31, 1939",Providence
Lonnie Eggleston,/players/e/egglelo01.html,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State
Bulbs Ehlers,/players/e/ehlerbu01.html,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue
Craig Ehlo,/players/e/ehlocr01.html,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State
Rich Eichhorst,/players/e/eichhdi01.html,1962,1962,G,6-3,200,"October 21, 1933",SE Missouri State
Howard Eisley,/players/e/eisleho01.html,1995,2006,G,6-2,177,"December 4, 1972",Boston College
Obinna Ekezie,/players/e/ekeziob01.html,2000,2005,F-C,6-9,270,"August 22, 1975",Maryland
Khalid El-Amin,/players/e/elamikh01.html,2001,2001,G,5-10,200,"April 25, 1979",UConn
Don Eliason,/players/e/eliasdo01.html,1947,1947,F,6-2,210,"July 24, 1918",Hamline University
Mario Elie,/players/e/eliema01.html,1991,2001,G-F,6-5,210,"November 26, 1963",American International College
CJ Elleby,/players/e/ellebcj01.html,2021,2022,F,6-6,200,"June 16, 2000",Washington State
Ray Ellefson,/players/e/ellefra01.html,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University
Henry Ellenson,/players/e/ellenhe01.html,2017,2021,F,6-10,240,"January 13, 1997",Marquette
Wayne Ellington,/players/e/ellinwa01.html,2010,2022,G,6-4,207,"November 29, 1987",UNC
Bob Elliott,/players/e/elliobo01.html,1979,1981,C-F,6-9,225,"August 18, 1955",Arizona
Sean Elliott,/players/e/elliose01.html,1990,2001,F,6-8,205,"February 2, 1968",Arizona
Bo Ellis,/players/e/ellisbo02.html,1978,1980,F,6-9,197,"August 8, 1954",Marquette
Boo Ellis,/players/e/ellisbo01.html,1959,1960,F,6-5,185,"February 11, 1936",Niagara University
Dale Ellis,/players/e/ellisda01.html,1984,2000,G-F,6-7,205,"August 6, 1960",Tennessee
Harold Ellis,/players/e/ellisha01.html,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College
Joe Ellis,/players/e/ellisjo01.html,1967,1974,F-G,6-6,175,"May 3, 1944",San Francisco
LaPhonso Ellis,/players/e/ellisla01.html,1993,2003,F,6-8,240,"May 5, 1970",Notre Dame
LeRon Ellis,/players/e/ellisle02.html,1992,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse"
Leroy Ellis,/players/e/ellisle01.html,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's
Monta Ellis,/players/e/ellismo01.html,2006,2017,G,6-3,185,"October 26, 1985",
Pervis Ellison,/players/e/ellispe01.html,1990,2001,F-C,6-9,210,"April 3, 1967",Louisville
Len Elmore,/players/e/elmorle01.html,1975,1984,C-F,6-9,220,"March 28, 1952",Maryland
Francisco Elson,/players/e/elsonfr01.html,2004,2012,C,7-0,235,"February 28, 1976",California
Darrell Elston,/players/e/elstoda01.html,1975,1977,G,6-4,190,"August 15, 1952",UNC
Melvin Ely,/players/e/elyme01.html,2003,2014,C,6-10,260,"May 2, 1978",Fresno State
Joel Embiid,/players/e/embiijo01.html,2017,2022,C,7-0,280,"March 16, 1994",Kansas
Wayne Embry,/players/e/embrywa01.html,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University
Andre Emmett,/players/e/emmetan01.html,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech
Ned Endress,/players/e/endrene01.html,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron
Wayne Engelstad,/players/e/englewa01.html,1989,1989,F,6-8,245,"December 6, 1965","University of California, Irvine"
Chris Engler,/players/e/englech01.html,1983,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming"
A.J. English,/players/e/engliaj01.html,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
Alex English,/players/e/englial01.html,1977,1991,F,6-7,190,"January 5, 1954",South Carolina
Claude English,/players/e/englicl01.html,1971,1971,F,6-4,185,"December 26, 1946",Rhode Island
Jo Jo English,/players/e/englijo01.html,1993,1995,G,6-4,195,"February 4, 1970",South Carolina
Kim English,/players/e/engliki01.html,2013,2013,G,6-6,200,"September 24, 1988",Missouri
Scott English,/players/e/englisc01.html,1973,1975,F,6-6,205,"October 20, 1950",Texas-El Paso
Gene Englund,/players/e/engluge01.html,1950,1950,F-C,6-5,205,"October 21, 1917",Wisconsin
James Ennis III,/players/e/ennisja01.html,2015,2022,F,6-6,215,"July 1, 1990",Cal State Long Beach
Tyler Ennis,/players/e/ennisty01.html,2015,2018,G,6-3,194,"August 24, 1994",Syracuse
Ray Epps,/players/e/eppsra01.html,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State
Semih Erden,/players/e/erdense01.html,2011,2012,C,7-0,240,"July 28, 1986",
Bo Erias,/players/e/eriasbo01.html,1958,1958,F,6-3,220,"July 30, 1932",Niagara University
Keith Erickson,/players/e/erickke01.html,1966,1977,F-G,6-5,195,"April 19, 1944",UCLA
Julius Erving,/players/e/ervinju01.html,1972,1987,F-G,6-7,210,"February 22, 1950",UMass
Evan Eschmeyer,/players/e/eschmev01.html,2000,2003,C,6-11,255,"May 30, 1975",Northwestern
Jack Eskridge,/players/e/eskrija01.html,1949,1949,C-F,6-5,200,"January 21, 1924",Kansas
Vincenzo Esposito,/players/e/esposvi01.html,1996,1996,G,6-3,198,"March 1, 1969",
Drew Eubanks,/players/e/eubandr01.html,2019,2022,F,6-9,245,"February 1, 1997",Oregon State
Billy Evans,/players/e/evansbi01.html,1970,1970,G,6-0,170,"March 3, 1947",Boston College
Bob Evans,/players/e/evansbo01.html,1950,1950,G,6-2,175,"May 31, 1925",Butler
Brian Evans,/players/e/evansbr01.html,1997,1999,F,6-8,220,"September 13, 1973",Indiana
Earl Evans,/players/e/evansea01.html,1980,1980,F,6-8,202,"November 11, 1955","USC, UNLV"
Jacob Evans,/players/e/evansja02.html,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati
Jawun Evans,/players/e/evansja01.html,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State
Jeremy Evans,/players/e/evansje01.html,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky
Maurice Evans,/players/e/evansma01.html,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas"
Mike Evans,/players/e/evansmi01.html,1980,1988,G,6-1,170,"April 19, 1955",Kansas State
Reggie Evans,/players/e/evansre01.html,2003,2015,F,6-8,245,"May 18, 1980",Iowa
Tyreke Evans,/players/e/evansty01.html,2010,2019,G-F,6-6,220,"September 19, 1989",Memphis
Daniel Ewing,/players/e/ewingda01.html,2006,2007,G,6-3,185,"March 26, 1983",Duke
Patrick Ewing,/players/e/ewingpa01.html,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown
Patrick Ewing,/players/e/ewingpa01.html,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown"
Patrick Ewing,/players/e/ewingpa02.html,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown
Patrick Ewing,/players/e/ewingpa02.html,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown"
Dante Exum,/players/e/exumda01.html,2015,2021,G,6-5,214,"July 13, 1995",
Christian Eyenga,/players/e/eyengch01.html,2011,2012,F,6-5,210,"June 22, 1989",
Festus Ezeli,/players/e/ezelife01.html,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt
Johnny Ezersky,/players/e/ezersjo01.html,1948,1950,F-G,6-3,175,"March 21, 1922",Rhode Island
Wayne Embry,/executives/embrywa01x.html,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University
Joe Fabel,/players/f/fabeljo01.html,1947,1947,F-G,6-1,190,"May 15, 1917",Pitt
John Fairchild,/players/f/faircjo01.html,1966,1970,F,6-8,205,"April 28, 1943",BYU
Tacko Fall,/players/f/fallta01.html,2020,2022,C,7-6,311,"December 10, 1995",Central Florida
Phil Farbman,/players/f/farbmph01.html,1949,1949,F,6-1,185,"April 3, 1924",City College of New York
Kenneth Faried,/players/f/farieke01.html,2012,2019,F-C,6-8,220,"November 19, 1989",Morehead State University
Dick Farley,/players/f/farledi01.html,1955,1959,G-F,6-4,190,"April 13, 1932",Indiana
Jordan Farmar,/players/f/farmajo01.html,2007,2017,G,6-2,180,"November 30, 1986",UCLA
Desmon Farmer,/players/f/farmede01.html,2007,2009,G,6-5,220,"October 7, 1981",USC
Jim Farmer,/players/f/farmeji01.html,1988,1994,G,6-4,190,"September 23, 1964",Alabama
Mike Farmer,/players/f/farmemi01.html,1959,1966,F,6-7,210,"September 26, 1936",San Francisco
Tony Farmer,/players/f/farmeto01.html,1998,2000,F,6-9,244,"January 3, 1970","San Jose State, Nebraska"
Bob Faught,/players/f/faughbo01.html,1947,1947,F,6-5,185,"September 2, 1921",Notre Dame
Vítor Luiz Faverani,/players/f/favervi01.html,2014,2014,C,6-11,260,"May 5, 1988",
Derrick Favors,/players/f/favorde01.html,2011,2022,F-C,6-9,265,"July 15, 1991",Georgia Tech
Nick Fazekas,/players/f/fazekni01.html,2008,2008,F,6-11,235,"June 17, 1985",Nevada
Dave Fedor,/players/f/fedorda01.html,1963,1963,F,6-6,190,"December 10, 1940",Florida State
Bob Feerick,/players/f/feeribo01.html,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara
Butch Feher,/players/f/feherbu01.html,1977,1977,G,6-4,185,"May 19, 1954",Vanderbilt
Jamie Feick,/players/f/feickja01.html,1997,2001,C,6-9,255,"July 3, 1974",Michigan State
Ron Feiereisel,/players/f/feierro01.html,1956,1956,G,6-3,185,"August 6, 1931",DePaul
George Feigenbaum,/players/f/feigege01.html,1950,1953,G,6-1,185,"July 2, 1928",Kentucky
Dave Feitl,/players/f/feitlda01.html,1987,1992,C,6-11,235,"June 8, 1962",Texas-El Paso
Kay Felder,/players/f/feldeka01.html,2017,2018,G,5-9,176,"March 29, 1995",Oakland
Cristiano Felício,/players/f/feliccr01.html,2016,2021,F-C,6-11,270,"July 7, 1992",
Carrick Felix,/players/f/felixca01.html,2014,2014,G,6-6,201,"August 17, 1990",Arizona State
Noel Felix,/players/f/felixno01.html,2006,2006,F,6-9,225,"October 4, 1981",Fresno State
Ray Felix,/players/f/felixra01.html,1954,1962,C,6-11,220,"December 10, 1930",Long Island University
Raymond Felton,/players/f/feltora01.html,2006,2019,G,6-1,205,"June 26, 1984",UNC
Jake Fendley,/players/f/fendlja01.html,1952,1953,G,6-0,180,"June 12, 1929",Northwestern
Warren Fenley,/players/f/fenlewa01.html,1947,1947,F,6-3,190,"February 8, 1922",Manhattan College
Desmond Ferguson,/players/f/fergude01.html,2004,2004,G-F,6-7,203,"July 22, 1977","Missouri, Detroit Mercy"
Terrance Ferguson,/players/f/fergute01.html,2018,2021,G-F,6-6,190,"May 17, 1998",
Rudy Fernández,/players/f/fernaru01.html,2009,2012,G,6-6,185,"April 4, 1985",
Bruno Fernando,/players/f/fernabr01.html,2020,2022,F,6-9,240,"August 15, 1998",Maryland
Eric Fernsten,/players/f/fernser01.html,1976,1984,C-F,6-10,205,"November 1, 1953",San Francisco
Al Ferrari,/players/f/ferraal01.html,1956,1963,G-F,6-4,190,"July 6, 1933",Michigan State
Rolando Ferreira,/players/f/ferrero01.html,1989,1989,C,7-1,240,"May 24, 1964",Houston
Duane Ferrell,/players/f/ferredu01.html,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Tech
Yogi Ferrell,/players/f/ferreyo01.html,2017,2021,G,6-0,178,"May 9, 1993",Indiana
Arnie Ferrin,/players/f/ferriar01.html,1949,1951,F-G,6-2,180,"July 29, 1925",Utah
Bob Ferry,/players/f/ferrybo01.html,1960,1969,C-F,6-8,230,"May 31, 1937",Saint Louis
Danny Ferry,/players/f/ferryda01.html,1991,2003,F,6-10,230,"October 17, 1966",Duke
Kyrylo Fesenko,/players/f/fesenky01.html,2008,2012,C,7-1,288,"December 24, 1986",
Bobby Fields,/players/f/fieldbo01.html,1972,1972,G,6-3,175,"October 20, 1949",La Salle
Kenny Fields,/players/f/fieldke01.html,1985,1988,F-G,6-5,220,"February 9, 1962",UCLA
Landry Fields,/players/f/fieldla01.html,2011,2015,F,6-7,210,"June 27, 1988",Stanford
Ron Filipek,/players/f/filipro01.html,1968,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University
Greg Fillmore,/players/f/fillmgr01.html,1971,1972,C,7-1,240,"March 7, 1947",Cheyney (PA)
Larry Finch,/players/f/finchla01.html,1974,1975,G,6-2,185,"February 16, 1951",Memphis
Hank Finkel,/players/f/finkeha01.html,1967,1975,C,7-0,240,"April 20, 1942",Dayton
Michael Finley,/players/f/finlemi01.html,1996,2010,G-F,6-7,215,"March 6, 1973",Wisconsin
Danny Finn,/players/f/finnda01.html,1953,1955,G,6-1,185,"May 29, 1928",St. John's
Dorian Finney-Smith,/players/f/finnedo01.html,2017,2022,F,6-7,220,"May 4, 1993",Florida
Matt Fish,/players/f/fishma01.html,1995,1997,C,6-11,235,"November 18, 1969",UNC Wilmington
Derek Fisher,/players/f/fishede01.html,1997,2014,G,6-1,200,"August 9, 1974",Little Rock
Richard Fisher,/players/f/fisheri01.html,1972,1972,F,6-5,215,"October 27, 1948",Colorado State
Gerald Fitch,/players/f/fitchge01.html,2006,2006,G,6-3,188,"August 12, 1982",Kentucky
Malik Fitts,/players/f/fittsma01.html,2021,2022,F,6-8,230,"July 4, 1997","South Florida, Saint Mary's"
Bob Fitzgerald,/players/f/fitzgbo01.html,1947,1949,F-C,6-5,190,"March 14, 1923",Seton Hall
Dick Fitzgerald,/players/f/fitzgdi01.html,1947,1948,F,6-2,175,"November 18, 1920",Fordham
Marcus Fizer,/players/f/fizerma01.html,2001,2006,F,6-9,262,"August 10, 1978",Iowa State
Jerry Fleishman,/players/f/fleisje01.html,1947,1953,G-F,6-2,190,"February 14, 1922",NYU
Al Fleming,/players/f/flemial01.html,1978,1978,F,6-7,215,"April 5, 1954",Arizona
Ed Fleming,/players/f/flemied01.html,1956,1960,G-F,6-3,189,"July 25, 1933",Niagara University
Vern Fleming,/players/f/flemive01.html,1985,1996,G,6-5,185,"February 4, 1962",Georgia
Luis Flores,/players/f/florelu01.html,2005,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan College"
Bruce Flowers,/players/f/flowebr01.html,1983,1983,F,6-8,225,"June 13, 1957",Notre Dame
Sleepy Floyd,/players/f/floydsl01.html,1983,1995,G,6-3,170,"March 6, 1960",Georgetown
Jonny Flynn,/players/f/flynnjo01.html,2010,2012,G,6-0,185,"February 6, 1989",Syracuse
Malachi Flynn,/players/f/flynnma01.html,2021,2022,G,6-1,175,"May 10, 1998","Washington State, San Diego State"
Mike Flynn,/players/f/flynnmi01.html,1976,1978,G,6-2,180,"July 31, 1953",Kentucky
Larry Fogle,/players/f/foglela01.html,1976,1976,G,6-5,205,"March 19, 1953",Canisius
Jack Foley,/players/f/foleyja01.html,1963,1963,F,6-3,170,"April 19, 1939",Holy Cross
Isaac Fontaine,/players/f/fontais01.html,2002,2002,G,6-4,210,"April 16, 1975",Washington State
Levi Fontaine,/players/f/fontale01.html,1971,1971,G,6-4,190,"November 1, 1948",University of Maryland Eastern Shore
Jeff Foote,/players/f/footeje01.html,2012,2012,C,7-0,265,"July 14, 1987",Cornell
Bryn Forbes,/players/f/forbebr01.html,2017,2022,G,6-2,205,"July 23, 1993",Michigan State
Gary Forbes,/players/f/forbega01.html,2011,2012,F,6-7,220,"February 25, 1985","Virginia, UMass"
Aleem Ford,/players/f/fordal03.html,2022,2022,F,6-8,220,"December 22, 1997",Wisconsin
Alphonso Ford,/players/f/fordal01.html,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University
Alton Ford,/players/f/fordal02.html,2002,2004,F,6-9,275,"May 29, 1981",Houston
Bob Ford,/players/f/fordbo01.html,1973,1973,F,6-7,228,"January 26, 1950",Purdue
Chris Ford,/players/f/fordch01.html,1973,1982,G-F,6-5,190,"January 11, 1949",Villanova
Don Ford,/players/f/forddo01.html,1976,1982,F,6-9,215,"December 31, 1952","New Mexico, UC Santa Barbara"
Jake Ford,/players/f/fordja01.html,1971,1972,G,6-3,180,"April 29, 1945",University of Maryland Eastern Shore
Phil Ford,/players/f/fordph01.html,1979,1985,G,6-2,175,"February 9, 1956",UNC
Sharrod Ford,/players/f/fordsh02.html,2006,2006,F,6-9,225,"January 9, 1982",Clemson
Sherell Ford,/players/f/fordsh01.html,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago
T.J. Ford,/players/f/fordtj01.html,2004,2012,G,6-0,165,"March 24, 1983",Texas
Donnie Forman,/players/f/formado01.html,1949,1949,G,5-10,175,"January 17, 1926",NYU
Bayard Forrest,/players/f/forreba01.html,1978,1979,C,6-10,235,"July 8, 1954",Grand Canyon University
Trent Forrest,/players/f/forretr01.html,2021,2022,G,6-4,210,"June 12, 1998",Florida State
Joseph Forte,/players/f/fortejo01.html,2002,2003,G,6-4,194,"March 23, 1981",UNC
Courtney Fortson,/players/f/fortsco01.html,2012,2012,G,5-11,185,"May 23, 1988",Arkansas
Danny Fortson,/players/f/fortsda01.html,1998,2007,F,6-7,260,"March 27, 1976",Cincinnati
Fred Foster,/players/f/fostefr01.html,1969,1977,F,6-5,210,"March 18, 1946",Miami University
Greg Foster,/players/f/fostegr01.html,1991,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso"
Jeff Foster,/players/f/fosteje01.html,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
Jimmy Foster,/players/f/fosteja01.html,1975,1976,G,6-1,175,"December 16, 1951",UConn
Rod Foster,/players/f/fostero01.html,1984,1986,G,6-1,160,"October 10, 1960",UCLA
Antonis Fotsis,/players/f/fotsian01.html,2002,2002,F,6-10,219,"April 1, 1981",
Evan Fournier,/players/f/fournev01.html,2013,2022,G-F,6-7,205,"October 29, 1992",
Larry Foust,/players/f/foustla01.html,1951,1962,C-F,6-9,215,"June 24, 1928",La Salle
Calvin Fowler,/players/f/fowleca01.html,1970,1970,G,6-0,175,"February 11, 1940",Saint Francis University
Jerry Fowler,/players/f/fowleje01.html,1952,1952,C,6-8,230,"June 20, 1927",Missouri
Tremaine Fowlkes,/players/f/fowlktr01.html,2002,2005,F,6-8,220,"April 11, 1976","California, Fresno State"
De'Aaron Fox,/players/f/foxde01.html,2018,2022,G,6-3,185,"December 20, 1997",Kentucky
Harold Fox,/players/f/foxha01.html,1973,1973,G,6-2,175,"August 29, 1949",Jacksonville University
Jim Fox,/players/f/foxji01.html,1968,1977,C-F,6-10,230,"April 7, 1943",South Carolina
Rick Fox,/players/f/foxri01.html,1992,2004,F-G,6-7,230,"July 24, 1969",UNC
Randy Foye,/players/f/foyera01.html,2007,2017,G,6-4,213,"September 24, 1983",Villanova
Adonal Foyle,/players/f/foylead01.html,1998,2009,C,6-10,250,"March 9, 1975",Colgate
Richie Frahm,/players/f/frahmri01.html,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga
Steve Francis,/players/f/francst01.html,2000,2008,G,6-3,195,"February 21, 1977",Maryland
Tellis Frank,/players/f/frankte01.html,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky
Nat Frankel,/players/f/frankna01.html,1947,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College
Jamaal Franklin,/players/f/frankja01.html,2014,2015,G,6-5,191,"July 21, 1991",San Diego State
William Franklin,/players/f/frankwi01.html,1973,1976,F,6-7,220,"October 19, 1949",Purdue
Robert Franks,/players/f/frankro01.html,2021,2021,F,6-7,225,"December 18, 1996",Washington State
Ronald Franz,/players/f/franzro01.html,1968,1973,F,6-7,205,"October 20, 1945",Kansas
Melvin Frazier,/players/f/frazime01.html,2019,2020,G,6-5,215,"August 30, 1996",Tulane
Michael Frazier,/players/f/frazimi01.html,2020,2020,G,6-3,200,"March 8, 1994",Florida
Tim Frazier,/players/f/fraziti01.html,2015,2022,G,6-0,170,"November 1, 1990",Penn State
Walt Frazier,/players/f/fraziwa01.html,1968,1980,G,6-4,200,"March 29, 1945",Southern Illinois
Will Frazier,/players/f/fraziwi01.html,1966,1969,C-F,6-7,210,"August 24, 1942",Grambling State University
Anthony Frederick,/players/f/fredean01.html,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine
Jimmer Fredette,/players/f/fredeji01.html,2012,2019,G,6-2,195,"February 25, 1989",BYU
World B. Free,/players/f/freewo01.html,1976,1988,G,6-2,185,"December 9, 1953",Guilford College
Enes Freedom,/players/k/kanteen01.html,2012,2022,C,6-10,250,"May 20, 1992",
Joel Freeland,/players/f/freeljo01.html,2013,2015,F-C,6-10,250,"February 7, 1987",
Donnie Freeman,/players/f/freemdo01.html,1968,1976,G,6-3,185,"July 18, 1944",Illinois
Gary Freeman,/players/f/freemga01.html,1971,1971,F,6-9,210,"July 25, 1948",Oregon State
Rod Freeman,/players/f/freemro01.html,1974,1974,F,6-7,225,"November 5, 1950",Vanderbilt
Matt Freije,/players/f/freijma01.html,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt
Frido Frey,/players/f/freyfr01.html,1947,1947,F,6-2,195,"October 26, 1921",Long Island University
Larry Friend,/players/f/frienla01.html,1958,1958,G-F,6-4,185,"April 14, 1935",California
Pat Frink,/players/f/frinkpa01.html,1969,1969,G,6-4,195,"February 18, 1945",Colorado
Jim Fritsche,/players/f/fritsji01.html,1954,1955,F-C,6-8,210,"December 10, 1931",Hamline University
Channing Frye,/players/f/fryech01.html,2006,2019,C-F,7-0,255,"May 17, 1983",Arizona
Bernie Fryer,/players/f/fryerbe01.html,1974,1975,G,6-3,185,"December 25, 1949",BYU
Frank Fucarino,/players/f/fucarfr01.html,1947,1947,F,6-2,175,"July 24, 1920",Long Island University
Herm Fuetsch,/players/f/fuetshe01.html,1948,1948,G,6-0,170,"July 6, 1918",
Joe Fulks,/players/f/fulksjo01.html,1947,1954,F-C,6-5,190,"October 26, 1921",Murray State
